"ref_area.label","source.label","indicator.label","sex.label","classif1.label","time","obs_value","note_classif.label","obs_status.label","note_indicator.label","note_source.label","classif2.label"
"Taiwan, China","LFS - Labour Force Survey","Labour force participation rate by sex and age (%)","Sex: Total","Age (Aggregate bands): Total","2020",59.137,,,,,
"Taiwan, China","LFS - Labour Force Survey","Labour force participation rate by sex and age (%)","Sex: Total","Age (Aggregate bands): Total","2019",59.174,,,,,
"Taiwan, China","LFS - Labour Force Survey","Labour force participation rate by sex and age (%)","Sex: Total","Age (Aggregate bands): Total","2018",58.996,,,,,
"Taiwan, China","LFS - Labour Force Survey","Labour force participation rate by sex and age (%)","Sex: Total","Age (Aggregate bands): Total","2017",58.831,,,,,
"Taiwan, China","LFS - Labour Force Survey","Labour force participation rate by sex and age (%)","Sex: Total","Age (Aggregate bands): Total","2016",58.742,,,,,
"Taiwan, China","LFS - Labour Force Survey","Labour force participation rate by sex and age (%)","Sex: Total","Age (Aggregate bands): Total","2015",58.653,,,,,
"Taiwan, China","LFS - Labour Force Survey","Labour force participation rate by sex and age (%)","Sex: Total","Age (Aggregate bands): Total","2014",58.541,,,,,
"Taiwan, China","LFS - Labour Force Survey","Labour force participation rate by sex and age (%)","Sex: Total","Age (Aggregate bands): Total","2013",58.435,,,,,
"Taiwan, China","LFS - Labour Force Survey","Labour force participation rate by sex and age (%)","Sex: Total","Age (Aggregate bands): Total","2012",58.35,,,,,
"Taiwan, China","LFS - Labour Force Survey","Labour force participation rate by sex and age (%)","Sex: Total","Age (Aggregate bands): Total","2011",58.171,,,,,
"Taiwan, China","LFS - Labour Force Survey","Labour force participation rate by sex and age (%)","Sex: Total","Age (Aggregate bands): Total","2010",58.074,,,,,
"Taiwan, China","LFS - Labour Force Survey","Labour force participation rate by sex and age (%)","Sex: Total","Age (Aggregate bands): Total","2009",57.903,,,,,
"Taiwan, China","LFS - Labour Force Survey","Labour force participation rate by sex and age (%)","Sex: Total","Age (Aggregate bands): Total","2008",58.277,,,,,
"Taiwan, China","LFS - Labour Force Survey","Labour force participation rate by sex and age (%)","Sex: Total","Age (Aggregate bands): Total","2007",58.248,,,,,
"Taiwan, China","LFS - Labour Force Survey","Labour force participation rate by sex and age (%)","Sex: Total","Age (Aggregate bands): Total","2006",57.921,,,,,
"Taiwan, China","LFS - Labour Force Survey","Labour force participation rate by sex and age (%)","Sex: Total","Age (Aggregate bands): Total","2005",57.78,,,,,
"Taiwan, China","LFS - Labour Force Survey","Labour force participation rate by sex and age (%)","Sex: Total","Age (Aggregate bands): Total","2004",57.658,,,,,
"Taiwan, China","LFS - Labour Force Survey","Labour force participation rate by sex and age (%)","Sex: Total","Age (Aggregate bands): Total","2003",57.344,,,,,
"Taiwan, China","LFS - Labour Force Survey","Labour force participation rate by sex and age (%)","Sex: Total","Age (Aggregate bands): Total","2002",57.339,,,,,
"Taiwan, China","LFS - Labour Force Survey","Labour force participation rate by sex and age (%)","Sex: Total","Age (Aggregate bands): Total","2001",57.235,,,,,
"Taiwan, China","LFS - Labour Force Survey","Labour force participation rate by sex and age (%)","Sex: Total","Age (Aggregate bands): Total","2000",57.676,,,,,
"Taiwan, China","LFS - Labour Force Survey","Labour force participation rate by sex and age (%)","Sex: Total","Age (Aggregate bands): Total","1999",57.934,,,,,
"Taiwan, China","LFS - Labour Force Survey","Labour force participation rate by sex and age (%)","Sex: Total","Age (Aggregate bands): Total","1998",58.038,,,,,
"Taiwan, China","LFS - Labour Force Survey","Labour force participation rate by sex and age (%)","Sex: Total","Age (Aggregate bands): Total","1997",58.33,,,,,
"Taiwan, China","LFS - Labour Force Survey","Labour force participation rate by sex and age (%)","Sex: Total","Age (Aggregate bands): Total","1996",58.436,,,,,
"Taiwan, China","LFS - Labour Force Survey","Labour force participation rate by sex and age (%)","Sex: Total","Age (Aggregate bands): Total","1995",58.707,,,,,
"Taiwan, China","LFS - Labour Force Survey","Labour force participation rate by sex and age (%)","Sex: Total","Age (Aggregate bands): Total","1994",58.964,,,,,
"Taiwan, China","LFS - Labour Force Survey","Labour force participation rate by sex and age (%)","Sex: Total","Age (Aggregate bands): Total","1993",58.819,,,,,
"Taiwan, China","LFS - Labour Force Survey","Labour force participation rate by sex and age (%)","Sex: Total","Age (Aggregate bands): Total","1992",59.339,,,,,
"Taiwan, China","LFS - Labour Force Survey","Labour force participation rate by sex and age (%)","Sex: Total","Age (Aggregate bands): Total","1991",59.11,,,,,
"Taiwan, China","LFS - Labour Force Survey","Labour force participation rate by sex and age (%)","Sex: Total","Age (Aggregate bands): Total","1990",59.242,,,,,
"Taiwan, China","LFS - Labour Force Survey","Labour force participation rate by sex and age (%)","Sex: Total","Age (Aggregate bands): Total","1989",60.122,,,,,
"Taiwan, China","LFS - Labour Force Survey","Labour force participation rate by sex and age (%)","Sex: Total","Age (Aggregate bands): Total","1988",60.212,,,,,
"Taiwan, China","LFS - Labour Force Survey","Labour force participation rate by sex and age (%)","Sex: Total","Age (Aggregate bands): Total","1987",60.929,,,,,
"Taiwan, China","LFS - Labour Force Survey","Labour force participation rate by sex and age (%)","Sex: Total","Age (Aggregate bands): Total","1986",60.365,,,,,
"Taiwan, China","LFS - Labour Force Survey","Labour force participation rate by sex and age (%)","Sex: Total","Age (Aggregate bands): Total","1985",59.487,,,,,
"Taiwan, China","LFS - Labour Force Survey","Labour force participation rate by sex and age (%)","Sex: Total","Age (Aggregate bands): Total","1984",59.723,,,,,
"Taiwan, China","LFS - Labour Force Survey","Labour force participation rate by sex and age (%)","Sex: Total","Age (Aggregate bands): Total","1983",59.255,,,,,
"Taiwan, China","LFS - Labour Force Survey","Labour force participation rate by sex and age (%)","Sex: Total","Age (Aggregate bands): Total","1982",57.934,,,,,
"Taiwan, China","LFS - Labour Force Survey","Labour force participation rate by sex and age (%)","Sex: Total","Age (Aggregate bands): Total","1981",57.822,,,,,
"Taiwan, China","LFS - Labour Force Survey","Labour force participation rate by sex and age (%)","Sex: Total","Age (Aggregate bands): Total","1980",58.265,,,,,
"Taiwan, China","LFS - Labour Force Survey","Labour force participation rate by sex and age (%)","Sex: Total","Age (Aggregate bands): Total","1979",58.736,,,,,
"Taiwan, China","LFS - Labour Force Survey","Labour force participation rate by sex and age (%)","Sex: Total","Age (Aggregate bands): Total","1978",58.758,,,,,
